"canonical,alt,abbr"
"AC/DC,ACDC,ACDC"
"Aerosmith,,"
"Ali,,"
"Alice Cooper,""Alice Cooper Nightmare Castle"","
"Alien,ALIEN,"
"Alien Poker,,"
"Alien Star,AS,AS"
"America’s Most Haunted,,AMH"
"Apollo 13,,"
"Arena,,"
"Atlantis,,"
"Attack From Mars,,AFM"
"Austin Powers,,"
"Avatar,,"
"Avengers,,"
"Avengers Infinity Quest,,AIQ"
"BMX,,"
"Bad Cats,,"
"Banzai Run,,"
"Batman ’66,,BM66"
"Batman Dark Knight,""BDK|Batman (Stern)"",BDK"
"Batman (Data East),Batman DE,"
"Batman Forever,Batman F,"
"Baywatch,,"
"Beam On,,"
"Beat the Clock,Beat Clock,"
"Beatles,The Beatles,"
"Big Brave,,"
"Big Guns,,"
"Black Hole,,"
"Black Knight,,"
"Black Knight 2000,,BK2K"
"Black Knight Sword of Rage,,BKSoR"
"Black Rose,,"
"Blackjack,,"
"Blackout,,"
"Bobby Orr Power Player,,BOPP"
"Bram Stoker's Dracula,,BSD"
"Breakshot,,"
"Bride of Pinbot,,BOP"
"Bride of Pinbot 2.0,,BOP2"
"Buccaneer,Buckaneer,"
"Buck Rogers,,BR"
"CSI,,"
"Cactus Canyon,,"
"Catacomb,,"
"Centaur,,"
"Champion Pub,ChampPub,"
"Charlie's Angels,CA,"
"Checkpoint,,"
"Cheetah,,"
"Circus Voltaire,,CV"
"Congo,,"
"Corvette,,"
"Creature from the Black Lagoon,,CFTBL"
"Cue Ball Wizard,,CBW"
"Cyclone,,"
"Deadpool,,DP"
"Demolition Man,,DM"
"Dialed In!,,"
"Diner,,"
"Dirty Harry,,DH"
"Dolly Parton,,"
"Dr. Dude,DRD,"
"Dr. Who,""Dr Who"","
"Dragon,DRAGON,"
"Dragonfist,,"
"Dune,DUNE,"
"Dungeons & Dragons (Bally),BDND,"
"Dungeons & Dragons (Stern),SDND,"
"Earthshaker,,"
"Eight Ball,8Ball,"
"Eight Ball Beyond,EBB,"
"Eight Ball Champ,EBC,"
"Eight Ball Deluxe,EBD,EBD"
"El Dorado,,"
"Elektra,,"
"Elton John,EJ,"
"Elvira and the Party Monsters,Elvira,"
"Elvira’s House of Horrors,ElviraHouseOfHorrors,"
"Elvis,,"
"Embryon,,"
"Evel Knievel,EK,EK"
